split,epoch,lr,train_acc,train_macro_f1,train_weighted_f1,train_balanced_acc,train_loss,train_top1_acc,train_top5_acc,train_num_samples,val_acc,val_macro_f1,val_weighted_f1,val_balanced_acc,val_loss,val_top1_acc,val_top5_acc,val_num_samples,epoch_seconds,elapsed_seconds,test_acc,test_macro_f1,test_weighted_f1,test_balanced_acc,test_loss,test_top1_acc,test_top5_acc,test_num_samples
validation_best_epoch,62,6.434608800970572e-05,0.9946524064171123,0.993525125029769,0.9948929144066643,0.9961616161616162,0.03309617702442067,0.9946524064171123,1.0,748.0,0.696969696969697,0.6862760834670947,0.6901587301587302,0.7050561797752809,1.7739815121347253,0.696969696969697,0.8666666666666667,165.0,0.566002368927002,42.23914313316345,,,,,,,,
test_best_validation_model,62,,,,,,,,,,,,,,,,,,,,0.58,0.5657407407407408,0.547,0.6180555555555556,2.249385222196579,0.58,0.84,100.0
