split,epoch,lr,train_acc,train_macro_f1,train_weighted_f1,train_balanced_acc,train_loss,train_top1_acc,train_top5_acc,train_num_samples,val_acc,val_macro_f1,val_weighted_f1,val_balanced_acc,val_loss,val_top1_acc,val_top5_acc,val_num_samples,epoch_seconds,elapsed_seconds,test_acc,test_macro_f1,test_weighted_f1,test_balanced_acc,test_loss,test_top1_acc,test_top5_acc,test_num_samples
validation_best_epoch,64,0.00012267305319970236,0.9919786096256684,0.991361111111111,0.9918857694592988,0.991420634920635,0.03502441570582989,0.9919786096256684,1.0,748.0,0.296969696969697,0.2933297663634742,0.30773448773448775,0.296816479400749,6.439936198610248,0.296969696969697,0.47878787878787876,165.0,2.356832504272461,160.27216458320618,,,,,,,,
test_best_validation_model,64,,,,,,,,,,,,,,,,,,,,0.19,0.17032627865961197,0.1803809523809524,0.18055555555555555,7.204193096160889,0.19,0.45,100.0
