landmark_subset,best_val_macro_f1,test_macro_f1,source_run_dir,best_model_dir
pose,0.2933297663634742,0.17032627865961197,output/encoder_only/wlasl100/pose/runs/pose__large5_r3_lr_1.40_seed4_20260816_124118,output/encoder_only/wlasl100/best_models/pose
hands,0.7157838416265382,0.7019179894179894,output/encoder_only/wlasl100/hands/runs/hands__round4_wd_high_20260814_001721,output/encoder_only/wlasl100/best_models/hands
pose_hands,0.7021401819154629,0.6291666666666667,output/encoder_only/wlasl100/pose_hands/runs/pose_hands__large5_r5_portfolio_r2_depth_down_seed4_20260817_181544,output/encoder_only/wlasl100/best_models/pose_hands
pose_hands_mouth,0.703852327447833,0.6032407407407407,output/encoder_only/wlasl100/pose_hands_mouth/runs/pose_hands_mouth__large5_r4_dropout_high_seed3_20260817_021751,output/encoder_only/wlasl100/best_models/pose_hands_mouth
pose_hands_eyes,0.6862760834670947,0.5657407407407408,output/encoder_only/wlasl100/pose_hands_eyes/runs/pose_hands_eyes__large5_r1_wide640_seed3_20260816_012927,output/encoder_only/wlasl100/best_models/pose_hands_eyes
pose_hands_eyebrows,0.6959782414838596,0.6625661375661376,output/encoder_only/wlasl100/pose_hands_eyebrows/runs/pose_hands_eyebrows__round7_round6_best_seed2_20260815_191429,output/encoder_only/wlasl100/best_models/pose_hands_eyebrows
pose_hands_face,0.6637952559300873,0.6083333333333333,output/encoder_only/wlasl100/pose_hands_face/runs/pose_hands_face__large5_r3_lr_0.80_seed3_20260816_175414,output/encoder_only/wlasl100/best_models/pose_hands_face
