split,epoch,lr,train_acc,train_macro_f1,train_weighted_f1,train_balanced_acc,train_loss,train_top1_acc,train_top5_acc,train_num_samples,val_acc,val_macro_f1,val_weighted_f1,val_balanced_acc,val_loss,val_top1_acc,val_top5_acc,val_num_samples,epoch_seconds,elapsed_seconds,test_acc,test_macro_f1,test_weighted_f1,test_balanced_acc,test_loss,test_top1_acc,test_top5_acc,test_num_samples
validation_best_epoch,86,4.2235396890183e-05,0.9933155080213903,0.9931023222391643,0.9932720961372805,0.9927976190476191,0.035028571402405034,0.9933155080213903,1.0,748.0,0.7393939393939394,0.6959782414838596,0.7164646464646464,0.7294007490636703,1.309314658425071,0.7393939393939394,0.8787878787878788,165.0,0.31531786918640137,32.8386070728302,,,,,,,,
test_best_validation_model,86,,,,,,,,,,,,,,,,,,,,0.68,0.6625661375661376,0.6464761904761904,0.7060185185185185,1.9208398294448852,0.68,0.85,100.0
